DealerID,DealerName,ID,No_Stock,NIV,Make,Model,Version,Year,Price,URL,URL_AA,Days
3236,"Honda New Richmond ",8002316,"H20208A","JM3KE4CYXG0660907","Mazda","CX-5","Gs Awd Tr�s Bien",2016,16495,"http://www.hondanewrichmond.com/occasion/Mazda-CX5-2016-id8002316.html","https://www.autoaubaine.com/Mazda-CX-5-c8002316.html",7
3236,"Honda New Richmond ",8002317,"H20095A","2HGFC2F79GH033538","Honda","Civic","Ex Gar",2016,11995,"http://www.hondanewrichmond.com/occasion/Honda-Civic-2016-id8002317.html","https://www.autoaubaine.com/Honda-Civic-c8002317.html",7
