DealerID,DealerName,ID,No_Stock,NIV,Make,Model,Version,Year,Price,URL,URL_AA,Days
82,"Bernieres Automobiles",7880590,"A085039","2HGFB2E28FH045039","Honda","Civic","DX",2015,7495,"https://www.autoaubaine.com/Honda-Civic-c7880590.html","https://www.autoaubaine.com/Honda-Civic-c7880590.html",119
82,"Bernieres Automobiles",7905115,"A090896","JA32V2FWXFU600896","Mitsubishi","Lancer","Se Awc",2015,10995,"https://www.autoaubaine.com/Mitsubishi-Lancer-c7905115.html","https://www.autoaubaine.com/Mitsubishi-Lancer-c7905115.html",96
